county_code,HRSA_MUA_COUNTY,POS_TOT_FQHC,ACS_PCT_UNINSURED_BELOW64,POS_FQHC_RATE,year
01001,1,2,12.97,0.04,2013
01001,1,2,12.34,0.04,2014
01001,1,2,11.68,0.04,2015
01001,1,2,10.35,0.04,2016
01003,1,3,17.85,0.02,2013
01003,1,3,17.75,0.02,2014
01003,1,3,15.72,0.02,2015
01003,1,3,14.37,0.02,2016
01005,0,3,19.37,0.11,2013
01005,0,3,18.27,0.11,2014
01005,0,3,18.43,0.11,2015
01005,0,3,15.76,0.11,2016
01007,1,2,16.73,0.09,2013
01007,1,2,15.15,0.09,2014
01007,1,3,11.38,0.13,2015
01007,1,3,10.7,0.13,2016
01009,1,1,13.86,0.02,2013
01009,1,1,14.15,0.02,2014
01009,1,1,13.7,0.02,2015
01009,1,1,13.23,0.02,2016
01011,1,1,21.16,0.09,2013
01011,1,1,20.45,0.09,2014
01011,1,1,21.03,0.09,2015
01011,1,1,19.51,0.09,2016
01013,0,2,16.96,0.1,2013
01013,0,2,15.47,0.1,2014
01013,0,2,14.82,0.1,2015
01013,0,2,14.31,0.1,2016
01015,1,2,16.02,0.02,2013
01015,1,3,15.46,0.03,2014
01015,1,3,13.99,0.03,2015
01015,1,3,12.84,0.03,2016
01017,0,1,20.14,0.03,2013
01017,0,1,18.28,0.03,2014
01017,0,1,16.8,0.03,2015
01017,0,1,14.41,0.03,2016
01019,1,1,15.56,0.04,2013
01019,1,1,15.65,0.04,2014
01019,1,1,12.2,0.04,2015
01019,1,1,11.71,0.04,2016
01021,0,2,18.46,0.05,2013
01021,0,2,18.39,0.05,2014
01021,0,3,18.78,0.07,2015
01021,0,3,18.61,0.07,2016
01023,1,3,17.5,0.22,2013
01023,1,3,16.76,0.22,2014
01023,1,3,16.77,0.22,2015
01023,1,3,14.47,0.23,2016
01025,0,0,18.73,0,2013
01025,0,0,19.01,0,2014
01025,0,0,18.05,0,2015
01025,0,0,15.87,0,2016
01027,1,0,16.48,0,2013
01027,1,1,16.02,0.07,2014
01027,1,1,17.55,0.07,2015
01027,1,1,15.84,0.07,2016
01029,1,1,17,0.07,2013
01029,1,1,16.64,0.07,2014
01029,1,1,16.57,0.07,2015
01029,1,1,16.78,0.07,2016
01031,1,1,14.37,0.02,2013
01031,1,1,15.1,0.02,2014
01031,1,1,13.56,0.02,2015
01031,1,1,12.67,0.02,2016
01033,1,2,15.42,0.04,2013
01033,1,2,14.26,0.04,2014
01033,1,2,13.54,0.04,2015
01033,1,2,11.18,0.04,2016
01035,1,2,24.7,0.15,2013
01035,1,3,26.6,0.23,2014
01035,1,3,25.88,0.23,2015
01035,1,3,23.95,0.24,2016
01037,1,1,17.42,0.09,2013
01037,1,1,18.86,0.09,2014
01037,1,1,18.95,0.09,2015
01037,1,1,15.28,0.09,2016
01039,1,1,19.03,0.03,2013
01039,1,1,17,0.03,2014
01039,1,1,16.33,0.03,2015
01039,1,1,15.39,0.03,2016
01041,1,1,14.71,0.07,2013
01041,1,1,15,0.07,2014
01041,1,1,14.63,0.07,2015
01041,1,1,13.55,0.07,2016
01043,1,1,19.01,0.01,2013
01043,1,1,18.51,0.01,2014
01043,1,1,18.02,0.01,2015
01043,1,1,17.6,0.01,2016
01045,1,1,16.11,0.02,2013
01045,1,1,15.2,0.02,2014
01045,1,1,15.87,0.02,2015
01045,1,1,15.53,0.02,2016
01047,0,2,18.38,0.05,2013
01047,0,2,17.03,0.05,2014
01047,0,2,16.39,0.05,2015
01047,0,2,14.75,0.05,2016
01049,1,3,19.8,0.04,2013
01049,1,3,20.19,0.04,2014
01049,1,3,19.69,0.04,2015
01049,1,3,18.71,0.04,2016
01051,1,1,12.79,0.01,2013
01051,1,1,12.33,0.01,2014
01051,1,1,10.9,0.01,2015
01051,1,1,10.24,0.01,2016
01053,1,2,23.91,0.05,2013
01053,1,4,24.39,0.11,2014
01053,1,5,22.24,0.13,2015
01053,1,5,21.34,0.13,2016
01055,0,9,18.49,0.09,2013
01055,0,9,17.16,0.09,2014
01055,0,9,15.64,0.09,2015
01055,0,9,14.5,0.09,2016
01057,1,1,14.64,0.06,2013
01057,1,1,14.71,0.06,2014
01057,1,1,11.65,0.06,2015
01057,1,1,10.45,0.06,2016
01059,1,3,20.04,0.09,2013
01059,1,3,20.98,0.09,2014
01059,1,3,18.78,0.09,2015
01059,1,3,16.73,0.1,2016
01061,0,1,18.61,0.04,2013
01061,0,1,18.68,0.04,2014
01061,0,1,18.55,0.04,2015
01061,0,1,17.96,0.04,2016
01063,1,2,17.6,0.22,2013
01063,1,2,17.73,0.23,2014
01063,1,2,17.24,0.23,2015
01063,1,2,17.07,0.23,2016
01065,1,3,16.87,0.19,2013
01065,1,3,14.63,0.19,2014
01065,1,3,14.42,0.2,2015
01065,1,3,12.91,0.2,2016
01067,1,1,14.88,0.06,2013
01067,1,1,15.61,0.06,2014
01067,1,1,15.2,0.06,2015
01067,1,1,14.3,0.06,2016
01069,1,0,16.83,0,2013
01069,1,0,16.12,0,2014
01069,1,0,15.07,0,2015
01069,1,0,14.34,0,2016
01071,1,8,19.16,0.15,2013
01071,1,8,19.24,0.15,2014
01071,1,8,17.27,0.15,2015
01071,1,8,14.44,0.15,2016
01073,0,14,14.69,0.02,2013
01073,0,15,14.36,0.02,2014
01073,0,15,13.65,0.02,2015
01073,0,15,12.62,0.02,2016
01075,1,2,16.54,0.14,2013
01075,1,2,15.49,0.14,2014
01075,1,2,16.54,0.14,2015
01075,1,2,15.8,0.14,2016
01077,0,4,14.68,0.04,2013
01077,0,4,14.36,0.04,2014
01077,0,4,13.55,0.04,2015
01077,0,4,13.24,0.04,2016
01079,1,2,17.23,0.06,2013
01079,1,2,14.81,0.06,2014
01079,1,2,13.32,0.06,2015
01079,1,2,13.07,0.06,2016
01081,1,1,14.06,0.01,2013
01081,1,1,12.51,0.01,2014
01081,1,1,11.67,0.01,2015
01081,1,1,10.56,0.01,2016
01083,0,0,15.19,0,2013
01083,0,0,14.92,0,2014
01083,0,0,14.53,0,2015
01083,0,0,14.54,0,2016
01085,1,5,19.26,0.45,2013
01085,1,5,18.58,0.46,2014
01085,1,5,16.29,0.47,2015
01085,1,5,15.26,0.47,2016
01087,1,1,16.45,0.05,2013
01087,1,1,16.25,0.05,2014
01087,1,1,14.69,0.05,2015
01087,1,1,12.84,0.05,2016
01089,0,3,14.26,0.01,2013
01089,0,3,13.96,0.01,2014
01089,0,3,13.59,0.01,2015
01089,0,3,11.88,0.01,2016
01091,1,2,14.87,0.1,2013
01091,1,2,14.54,0.1,2014
01091,1,2,14.43,0.1,2015
01091,1,2,14.87,0.1,2016
